epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.18635670840740204,3.198359489440918,0.36623474955558777,0.39945653080940247,2.0987842082977295,0.5964673757553101
1,0.419502854347229,2.0623035430908203,0.6462715268135071,0.554347813129425,1.543365478515625,0.7880434989929199
2,0.5323135852813721,1.6194413900375366,0.7659655809402466,0.6426630616188049,1.259705901145935,0.8600543737411499
3,0.5980879664421082,1.3671417236328125,0.8122370839118958,0.6929348111152649,1.1018444299697876,0.8885869383811951
4,0.647418737411499,1.2103676795959473,0.8489483594894409,0.717391312122345,1.0107524394989014,0.9008151888847351
5,0.6818355917930603,1.0851092338562012,0.8803059458732605,0.7472826242446899,0.9406799077987671,0.90625
6,0.704780101776123,1.0148379802703857,0.8963671326637268,0.76902174949646,0.8741708993911743,0.917119562625885
7,0.7281070947647095,0.935268759727478,0.894837498664856,0.789402186870575,0.82987380027771,0.926630437374115
8,0.7426386475563049,0.8830543756484985,0.9181644320487976,0.7989130616188049,0.8001461029052734,0.92798912525177
9,0.7525812387466431,0.8425929546356201,0.9212237000465393,0.8084239363670349,0.7439914345741272,0.9334239363670349
10,0.7713193297386169,0.7769607901573181,0.9342256188392639,0.811141312122345,0.7145844101905823,0.9347826242446899
11,0.781644344329834,0.7468577027320862,0.9300191402435303,0.823369562625885,0.6837848424911499,0.9402173757553101
12,0.7919694185256958,0.7171955108642578,0.9411090016365051,0.8274456262588501,0.6485635042190552,0.9524456262588501
13,0.8099426627159119,0.6732325553894043,0.9483747482299805,0.8288043737411499,0.6277979612350464,0.9551630616188049
14,0.8130019307136536,0.6584630608558655,0.9514340162277222,0.8410326242446899,0.606234073638916,0.957880437374115
15,0.8202676773071289,0.6073117256164551,0.9590822458267212,0.8410326242446899,0.5811635255813599,0.95923912525177
16,0.8225621581077576,0.6118406653404236,0.9537284970283508,0.8396739363670349,0.5675063133239746,0.960597813129425
17,0.839005708694458,0.5710985064506531,0.962523877620697,0.84375,0.5547404885292053,0.9633151888847351
18,0.8363288640975952,0.5636542439460754,0.9671128392219543,0.851902186870575,0.5435885787010193,0.967391312122345
19,0.8409177660942078,0.5363640785217285,0.9663479924201965,0.854619562625885,0.5197590589523315,0.9646739363670349
20,0.8451243042945862,0.5263800024986267,0.970172107219696,0.8614130616188049,0.5004181861877441,0.967391312122345
21,0.8516252636909485,0.524874746799469,0.9652007818222046,0.86277174949646,0.4923926293849945,0.9728260636329651
22,0.8630974888801575,0.4840899705886841,0.9659655690193176,0.86548912525177,0.48346632719039917,0.9714673757553101
23,0.8695984482765198,0.4661056399345398,0.9766730666160583,0.8804348111152649,0.4709644317626953,0.967391312122345
24,0.875717043876648,0.4529739320278168,0.9778202772140503,0.883152186870575,0.4572311043739319,0.9728260636329651
25,0.8722753524780273,0.4568374454975128,0.9709368944168091,0.885869562625885,0.4481256306171417,0.9714673757553101
26,0.8718929290771484,0.4463789761066437,0.9785850644111633,0.89402174949646,0.4398541748523712,0.9728260636329651
27,0.8768642544746399,0.42313137650489807,0.980879545211792,0.8913043737411499,0.433606892824173,0.9741848111152649
28,0.8925430178642273,0.3929744064807892,0.9850860238075256,0.89402174949646,0.4328497052192688,0.9714673757553101
29,0.884894847869873,0.4049035310745239,0.9843212366104126,0.895380437374115,0.4296441376209259,0.9741848111152649
30,0.8990439772605896,0.37407350540161133,0.9831739664077759,0.8926630616188049,0.41575199365615845,0.9755434989929199
31,0.8933078646659851,0.38399529457092285,0.9873805046081543,0.89673912525177,0.4137372076511383,0.9755434989929199
32,0.8921605944633484,0.3946561813354492,0.981644332408905,0.8994565010070801,0.4118276536464691,0.9741848111152649
33,0.9005736112594604,0.34360623359680176,0.991204559803009,0.9035326242446899,0.40933674573898315,0.976902186870575
34,0.9055449366569519,0.3527311682701111,0.9869980812072754,0.89402174949646,0.4110030233860016,0.97826087474823
35,0.914722740650177,0.3332778513431549,0.9889101386070251,0.9103260636329651,0.39335861802101135,0.976902186870575
36,0.9093690514564514,0.3377552926540375,0.9889101386070251,0.9116848111152649,0.3881705701351166,0.97826087474823
37,0.9082217812538147,0.3329707980155945,0.9889101386070251,0.9116848111152649,0.3864474892616272,0.979619562625885
38,0.9082217812538147,0.339702308177948,0.9873805046081543,0.9130434989929199,0.36914119124412537,0.97826087474823
39,0.90439772605896,0.333134263753891,0.9885277152061462,0.91576087474823,0.3752581477165222,0.97826087474823
40,0.9212237000465393,0.3092930316925049,0.9896749258041382,0.914402186870575,0.3745007812976837,0.9755434989929199
41,0.923518180847168,0.28654083609580994,0.9931166172027588,0.917119562625885,0.36185717582702637,0.97826087474823
42,0.9208412766456604,0.2963576018810272,0.9934990406036377,0.91847825050354,0.3617859184741974,0.979619562625885
43,0.9292542934417725,0.2804071605205536,0.9915869832038879,0.9103260636329651,0.3700569272041321,0.97826087474823
44,0.9246653914451599,0.2853362262248993,0.9915869832038879,0.90625,0.3849698305130005,0.976902186870575
45,0.9258126020431519,0.28821560740470886,0.9908221960067749,0.9130434989929199,0.361249178647995,0.979619562625885
46,0.9258126020431519,0.2797810137271881,0.9896749258041382,0.9116848111152649,0.3600162863731384,0.9755434989929199
47,0.9250478148460388,0.2701890170574188,0.9931166172027588,0.91847825050354,0.35571932792663574,0.979619562625885
48,0.9281070828437805,0.2688835561275482,0.9934990406036377,0.926630437374115,0.3449268043041229,0.98097825050354
49,0.9273422360420227,0.27295926213264465,0.9946462512016296,0.9239130616188049,0.3383629322052002,0.97826087474823
